Delay classes,mlp_2_512,mlp_2_1024
1,0.40080235883643067,0.34813592057121723
2,0.4627777700691241,0.36583764755618364
3,0.4770271507665112,0.3060617650579263
4,0.4583611725968776,0.31632918116601655
5,0.4664640458319274,0.3233300468397752
"1,2",0.4590397795399728,0.3338652159514787
"1,3",0.4426892157918082,0.33034312244156383
"1,4",0.4282929466186002,0.34396495556571105
"1,5",0.4360076658070569,0.3359836927793238
"2,3",0.4609623435101466,0.31632788485693153
"2,4",0.4517698899003415,0.33745394626612
"2,5",0.4480794319113001,0.31909675761088413
"3,4",0.43953487575478495,0.3012767333694697
"3,5",0.4657061105663877,0.3091548744060442
"4,5",0.445891667724957,0.28560893706478774
"1,2,3",0.4417949906445591,0.3271843865407718
"1,2,4",0.4324104334428857,0.3288421051503359
"1,2,5",0.4307934182143969,0.3174911882846798
"1,3,4",0.4368398310621033,0.31503695291990796
"1,3,5",0.4242255233960181,0.32498877932236664
"1,4,5",0.4331823311884029,0.3315521696477237
"2,3,4",0.4433999697518224,0.33427471202529885
"2,3,5",0.4519665848886339,0.31447878322954365
"2,4,5",0.44390328166945375,0.305293376037279
"3,4,5",0.4612644849142646,0.3316884486665079
"1,2,3,4",0.4446330385067817,0.33324550778932577
"1,2,3,5",0.4228482058560841,0.323169315376155
"1,2,4,5",0.4225700353071143,0.32248449483979186
"1,3,4,5",0.42411157493066265,0.31675448641711407
"2,3,4,5",0.4507187063455242,0.3287962165329204
"1,2,3,4,5",0.41524507063624416,0.3316986851631096
